SRNo P0                 error_P0  rndm1    P1             error_P1  rndm2
1     0.1153635682680         14  cwp+17     5.96703E-15        7  cwp+17 
2     0.69374767047           14  cn95       2.097E-15         12  cn95 
3     0.3158731909             3  awd+12     3.6039E-13         5  awd+12 
4     2.55287                  0  dsm+16                       0  
5     1.240699038946          11  hlk+04     5.6446E-16        14  hlk+04 

6     0.003050203104480002     7  abb+18     1.14234E-20        4  abb+18 
7     0.004554447383906        3  frk+17     -4.54E-21          7  frk+17 
8     0.00184                  0  phl+16                       0  
9     0.0037046394947985       6  frk+17     9.820E-21          9  frk+17 
10    0.00575677999551635     14  frk+17     -4.98503E-20      20  frk+17 

11    0.00535757328486573      9  frk+17     -3.4220E-21        9  frk+17 
12    0.00353632915276244      4  frk+17     9.85103E-20        6  frk+17 
13    0.00262357935251262      4  frk+17     6.45029E-20        7  frk+17 
14    0.00404037914356515     14  frk+17     -4.21584E-20      17  frk+17 
15    0.00321034070935032     11  frk+17     -1.8294E-21       11  frk+17 

16    0.00348499206166289     13  frk+17     -4.5874E-20        3  frk+17 
17    0.00210063354535246      5  frk+17     -9.7917E-21        9  frk+17 
18    0.0043461679994616       4  frk+17     -1.22045E-19       4  frk+17 
19    0.0036766432176002       3  frk+17     -3.8419E-20        6  frk+17 
20    0.00305395434626085     10  frk+17     -2.18570E-20      19  frk+17 

21    0.00264334329724357      5  frk+17     3.03493E-20        6  frk+17 
22    0.0036430207             3  rft+16     6.6E-19            4  rft+16 
23    0.00403318118457258     15  frk+17     3.4008E-20         4  frk+17 
24    0.00348046270749329     13  frk+17     1.48352E-19        3  frk+17 
25    0.00283040595787912      8  frk+17     -1.205413E-19      9  frk+17 

26    0.0075884798073671      12  frk+17     2.93805E-19       12  frk+17 
27    0.00434282669639233     12  frk+17     9.52279E-20       17  frk+17 
28    0.00481016762            7  rft+16                       0  
29    0.0023523445319370       3  rft+16     -8.65526E-20      12  rft+16 
30    0.00477152291069356      5  rft+16     1.83610E-20        7  rft+16 

31    0.00219665714352123      5  frk+17     -3.51721E-20      10  frk+17 
32    0.004554                 0  fre08                        0  
33    0.318357731235           1  jml+09     0.15006E-15        6  jml+09 
34    0.0048654532112551       3  abb+18     1.01743E-20       12  abb+18 
35    0.315                    0  hrk+08                       0  

36    0.912                    0  hrk+08                       0  
37    0.0018771818845850       2  aaa+10b    4.966E-21          1  aaa+10b 
38    0.9429509945598         17  hlk+04     4.08210E-16        7  hlk+04 
39    0.03680412              16  slr+14                       0  
40    1.1182253452412         13  hlk+04     2.878973E-15      12  hlk+04 

41    0.63233580002            6  mfl+06     2.49E-15           3  mfl+06 
